0,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
3,9
3,10
3,11
3,12
3,13
4,14
4,15
4,16
4,17
4,18
4,19
4,20
4,21
4,22
4,23
5,24
5,25
5,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
11,35
11,36
11,37
11,38
11,39
11,40
11,41
11,42
11,43
11,44
11,45
11,46
11,47
11,48
11,49
11,50
14,51
14,52
14,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
15,62
15,63
15,64
15,65
15,66
15,67
15,68
15,69
15,70
18,71
18,72
18,73
18,74
18,75
23,76
23,77
23,78
23,79
23,80
23,81
23,82
23,83
29,84
29,85
29,86
29,87
29,88
29,89
29,90
29,91
29,92
29,93
29,94
29,95
29,96
29,97
29,98
29,99
29,100
29,101
29,102
29,103
29,104
29,105
29,106
29,107
29,108
30,109
32,110
32,111
32,112
32,113
32,114
